Temperature,Humidity,WindSpeed,Precipitation,TimeOfDay,Elevation,Duration,Terrain,MovingTime,ClothingCategory
68,85,7,Light Rain,Morning,150,45,Road,43,Light
35,30,12,None,Afternoon,300,60,Trail,58,Medium
72,85,5,Heavy Rain,Evening,50,30,Track,29,Light
55,95,8,None,Early Morning,200,90,Mixed,87,Medium
28,70,15,Snow,Night,800,120,Trail,115,Heavy
80,60,3,None,Afternoon,20,25,Track,24,Very Light
45,55,10,None,Morning,400,180,Road,175,Light
62,75,6,Light Rain,Evening,100,45,Mixed,43,Light
38,40,14,None,Early Morning,600,210,Trail,205,Medium
75,90,4,None,Afternoon,30,35,Track,34,Very Light
50,80,9,Heavy Rain,Morning,250,60,Road,58,Medium
32,60,13,Light Snow,Night,700,90,Trail,87,Heavy
70,45,5,None,Evening,150,40,Mixed,38,Light
42,65,11,None,Morning,350,150,Road,145,Medium
82,70,3,None,Afternoon,25,28,Track,27,Very Light
48,75,8,Light Rain,Evening,500,75,Mixed,72,Light
30,35,16,None,Night,900,120,Trail,115,Heavy
65,80,6,Heavy Rain,Morning,100,35,Road,33,Light
40,60,12,None,Afternoon,450,180,Mixed,175,Medium
78,55,4,None,Evening,50,30,Track,29,Very Light
52,70,9,Light Rain,Early Morning,300,65,Road,63,Medium
33,40,15,Snow,Night,750,100,Trail,96,Heavy
68,85,5,Heavy Rain,Afternoon,200,45,Mixed,43,Light
45,50,11,None,Morning,550,210,Road,205,Medium
85,75,3,None,Evening,30,25,Track,24,Very Light
58,90,7,Light Rain,Afternoon,400,70,Mixed,67,Medium
25,30,17,None,Night,1000,135,Trail,130,Heavy
72,60,6,None,Morning,150,40,Road,38,Light
37,70,13,Light Snow,Evening,650,95,Mixed,92,Medium
80,85,4,Heavy Rain,Afternoon,50,30,Track,29,Very Light
48,65,10,None,Morning,350,160,Road,155,Light
32,45,14,None,Night,800,110,Trail,106,Heavy
70,80,5,Light Rain,Evening,250,55,Mixed,53,Light
43,55,12,None,Early Morning,500,200,Road,195,Medium
76,50,3,None,Afternoon,20,28,Track,27,Very Light
55,75,8,Heavy Rain,Morning,300,65,Mixed,62,Medium
